date,prix,lag_1,lag_2,lag_4,lag_8,lag_12,MA4,MA12,MA26,std_4,mois,trimestre,semaine,variation_pct
2015-06-25,56.96,60.27,59.92,59.64,60.93,50.42,59.644999999999996,58.939166666666665,53.505,1.9027786699105753,6,2,26,-5.491952878712469
2015-07-02,51.65,56.96,60.27,61.43,60.5,56.39,57.199999999999996,58.54416666666666,53.62038461538461,3.9867865087895846,7,3,27,-9.32233146067416
2015-07-09,51.41,51.65,56.96,59.92,58.98,56.16,55.0725,58.14833333333334,53.73307692307693,4.309063123232238,7,3,28,-0.4646660212971998
2015-07-16,49.19,51.41,51.65,60.27,57.51,58.58,52.302499999999995,57.365833333333335,53.78730769230769,3.296577770961871,7,3,29,-4.3182260260649645
2015-07-23,48.79,49.19,51.41,56.96,59.64,60.93,50.260000000000005,56.354166666666664,53.954230769230776,1.4787832836490626,7,3,30,-0.8131734092295173
2015-07-30,45.15,48.79,49.19,51.65,61.43,60.5,48.635,55.07500000000001,53.82730769230769,2.593446869836846,7,3,31,-7.46054519368723
2015-08-06,43.3,45.15,48.79,51.41,59.92,58.98,46.6075,53.76833333333334,53.61423076923076,2.857532443676973,8,3,32,-4.097452934662238
2015-08-13,40.8,43.3,45.15,49.19,60.27,57.51,44.51,52.37583333333333,53.17807692307693,3.3643325241915507,8,3,33,-5.773672055427248
2015-08-20,38.6,40.8,43.3,48.79,56.96,59.64,41.962500000000006,50.6225,52.70153846153846,2.8639643270589668,8,3,34,-5.3921568627450895
2015-08-27,46.25,38.6,40.8,45.15,51.65,61.43,42.2375,49.357499999999995,52.49846153846154,3.2927635303292493,8,3,35,19.818652849740936
2015-09-03,44.15,46.25,38.6,43.3,51.41,59.92,42.449999999999996,48.04333333333333,52.34384615384616,3.409545424246418,9,3,36,-4.540540540540539
2015-09-10,47.15,44.15,46.25,40.8,49.19,60.27,44.0375,46.95000000000001,52.43961538461538,3.8367466687285665,9,3,37,6.795016987542479
2015-09-17,44.48,47.15,44.15,38.6,48.79,56.96,45.5075,45.91,52.25769230769231,1.4315114390041868,9,3,38,-5.662778366914112
2015-09-24,45.09,44.48,47.15,46.25,45.15,51.65,45.217499999999994,45.36333333333334,52.065384615384616,1.3458918975905236,9,3,39,1.3714028776978582
2015-10-01,47.81,45.09,44.48,44.15,43.3,51.41,46.1325,45.06333333333333,51.965,1.598632227874776,10,4,40,6.032379685074285
2015-10-08,46.64,47.81,45.09,47.15,40.8,49.19,46.005,44.850833333333334,51.589999999999996,1.508210860589415,10,4,41,-2.4471867810081593
2015-10-15,45.2,46.64,47.81,44.48,38.6,48.79,46.185,44.55166666666667,51.168461538461536,1.2931743888586205,10,4,42,-3.0874785591766707
2015-10-22,45.94,45.2,46.64,45.09,46.25,45.15,46.3975,44.6175,50.682307692307695,1.1101463867436046,10,4,43,1.6371681415929151
2015-10-29,46.32,45.94,45.2,47.81,44.15,43.3,46.025000000000006,44.869166666666665,50.12038461538461,0.6199731176966672,10,4,44,0.8271658685241601
2015-11-05,42.93,46.32,45.94,46.64,47.15,40.8,45.0975,45.04666666666666,49.44461538461538,1.5179893499845367,11,4,45,-7.318652849740936
2015-11-12,40.75,42.93,46.32,45.2,44.48,38.6,43.985,45.225833333333334,48.74346153846154,2.6364433112306997,11,4,46,-5.078034008851617
2015-11-19,43.04,40.75,42.93,45.94,45.09,46.25,43.260000000000005,44.958333333333336,48.18692307692307,2.296446530330372,11,4,47,5.619631901840494
2015-11-26,39.94,43.04,40.75,46.32,47.81,44.15,41.665,44.607499999999995,47.42923076923077,1.5603097982985117,11,4,48,-7.202602230483279
2015-12-03,37.16,39.94,43.04,42.93,46.64,47.15,40.2225,43.775,46.49576923076923,2.4272944471845506,12,4,49,-6.960440660991496
2015-12-10,35.52,37.16,39.94,40.75,45.2,44.48,38.915,43.028333333333336,45.557307692307695,3.3001161595716937,12,4,50,-4.413347685683511
2015-12-17,37.5,35.52,37.16,43.04,45.94,45.09,37.53,42.395833333333336,44.681538461538466,1.8244633914294273,12,4,51,5.57432432432432
2015-12-24,36.6,37.5,35.52,39.94,46.32,47.81,36.695,41.461666666666666,43.89846153846153,0.8667756341750033,12,4,52,-2.399999999999991
2015-12-31,33.97,36.6,37.5,37.16,42.93,46.64,35.8975,40.405833333333334,43.21846153846154,1.5186918713153992,12,4,53,-7.185792349726783
2016-01-07,30.48,33.97,36.6,35.52,40.75,45.2,34.637499999999996,39.17916666666667,42.41346153846154,3.1504325099896127,1,1,1,-10.273770974389162
2016-01-14,26.55,30.48,33.97,37.5,43.04,45.94,31.9,37.56333333333333,41.542692307692306,4.359426567795291,1,1,2,-12.893700787401574
2016-01-21,32.3,26.55,30.48,36.6,39.94,46.32,30.825,36.395,40.90846153846154,3.186497554787401,1,1,3,21.657250470809775
2016-01-28,32.28,32.3,26.55,33.97,37.16,42.93,30.4025,35.5075,40.41346153846154,2.7063674916757745,1,1,4,-0.06191950464394802
2016-02-04,27.45,32.28,32.3,30.48,35.52,40.75,29.645,34.399166666666666,39.80384615384616,3.076215207035981,2,1,5,-14.96282527881041
2016-02-11,30.66,27.45,32.28,26.55,37.5,43.04,30.6725,33.3675,39.41384615384615,2.28162770845715,2,1,6,11.693989071038246
2016-02-18,32.15,30.66,27.45,32.3,36.6,39.94,30.634999999999998,32.718333333333334,39.165769230769236,2.246931240603377,2,1,7,4.859752120026095
2016-02-25,34.66,32.15,30.66,32.28,33.97,37.16,31.229999999999997,32.51,38.72,3.0124519359926873,2,1,8,7.807153965785374
2016-03-03,38.29,34.66,32.15,27.45,30.48,35.52,33.94,32.740833333333335,38.494615384615386,3.336834827597271,3,1,9,10.473167916907112
2016-03-10,38.46,38.29,34.66,30.66,26.55,37.5,35.89,32.82083333333333,38.160384615384615,3.0476985852715353,3,1,10,0.4439801514755759
